

==================================================
BẮT ĐẦU CHẠY THÍ NGHIỆM GAT - 2026-03-10 09:48:42.923119
==================================================

[GAT - 1. MSP (No - No - No)] - cora (structure)
Namespace(dataset='cora', ood_type='structure', data_dir='../../data/', device=0, cpu=False, seed=123, train_prop=0.1, valid_prop=0.1, runs=1, epochs=200, method='msp', backbone='gat', hidden_channels=64, num_layers=2, gat_heads=8, out_heads=1, hops=2, T=1.0, use_reg=False, lamda=1.0, m_in=-5, m_out=-1, use_prop=False, K=2, alpha=0.5, noise=0.0, weight_decay=0.01, dropout=0.0, lr=0.01, use_bn=False, display_step=1, cached=False, print_prop=False, print_args=False, mode='detect', use_occ=False, beta=1.0, nu=0.01)
ind dataset cora: all nodes 2708 | centered nodes 2708 | edges 10556 | classes 7 | feats 1433
ood tr dataset cora: all nodes 2708 | centered nodes 2708 | edges 6680
ood te dataset cora: all nodes 2708 | centered nodes 2708 | edges 6696
MODEL: MSP(
  (encoder): GAT(
    (convs): ModuleList(
      (0): GATConv(1433, 64, heads=2)
      (1): GATConv(128, 7, heads=1)
    )
    (bns): ModuleList(
      (0): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
)
Epoch: 116, Loss: 1.9459, AUROC: 44.18%, AUPR: 28.17%, FPR95: 98.19%, Test Score: 14.40%
Epoch: 117, Loss: 1.9459, AUROC: 43.89%, AUPR: 28.24%, FPR95: 97.86%, Test Score: 14.40%
Epoch: 118, Loss: 1.9459, AUROC: 52.03%, AUPR: 29.91%, FPR95: 99.63%, Test Score: 9.30%
Epoch: 119, Loss: 1.9459, AUROC: 50.84%, AUPR: 28.85%, FPR95: 94.90%, Test Score: 6.40%
Epoch: 120, Loss: 1.9459, AUROC: 52.22%, AUPR: 29.16%, FPR95: 96.68%, Test Score: 6.40%
Epoch: 121, Loss: 1.9459, AUROC: 51.45%, AUPR: 29.04%, FPR95: 98.97%, Test Score: 6.40%
Epoch: 122, Loss: 1.9459, AUROC: 46.71%, AUPR: 26.39%, FPR95: 97.16%, Test Score: 6.40%
Epoch: 123, Loss: 1.9459, AUROC: 52.94%, AUPR: 29.08%, FPR95: 99.67%, Test Score: 31.90%
Epoch: 124, Loss: 1.9459, AUROC: 48.80%, AUPR: 26.51%, FPR95: 100.00%, Test Score: 31.90%
Epoch: 125, Loss: 1.9459, AUROC: 49.68%, AUPR: 28.11%, FPR95: 99.15%, Test Score: 14.90%
Epoch: 126, Loss: 1.9459, AUROC: 54.15%, AUPR: 31.31%, FPR95: 99.67%, Test Score: 9.10%
Epoch: 127, Loss: 1.9459, AUROC: 47.79%, AUPR: 26.15%, FPR95: 98.45%, Test Score: 9.10%
Epoch: 128, Loss: 1.9459, AUROC: 52.43%, AUPR: 30.93%, FPR95: 99.89%, Test Score: 9.10%
Epoch: 129, Loss: 1.9459, AUROC: 46.46%, AUPR: 27.59%, FPR95: 99.22%, Test Score: 14.40%
Epoch: 130, Loss: 1.9459, AUROC: 42.85%, AUPR: 26.91%, FPR95: 99.26%, Test Score: 14.40%
Epoch: 131, Loss: 1.9459, AUROC: 46.43%, AUPR: 27.87%, FPR95: 98.38%, Test Score: 14.40%
Epoch: 132, Loss: 1.9459, AUROC: 49.41%, AUPR: 26.80%, FPR95: 98.30%, Test Score: 31.90%
Epoch: 133, Loss: 1.9459, AUROC: 40.72%, AUPR: 23.94%, FPR95: 99.67%, Test Score: 31.90%
Epoch: 134, Loss: 1.9459, AUROC: 57.87%, AUPR: 32.13%, FPR95: 100.00%, Test Score: 31.90%
Epoch: 135, Loss: 1.9459, AUROC: 47.77%, AUPR: 26.14%, FPR95: 99.19%, Test Score: 13.00%
Epoch: 136, Loss: 1.9459, AUROC: 52.90%, AUPR: 28.18%, FPR95: 99.85%, Test Score: 13.00%
Epoch: 137, Loss: 1.9459, AUROC: 52.19%, AUPR: 28.58%, FPR95: 99.59%, Test Score: 6.40%
Epoch: 138, Loss: 1.9459, AUROC: 49.96%, AUPR: 26.95%, FPR95: 99.19%, Test Score: 6.40%
Epoch: 139, Loss: 1.9459, AUROC: 47.33%, AUPR: 25.96%, FPR95: 95.64%, Test Score: 6.40%
Epoch: 140, Loss: 1.9459, AUROC: 46.92%, AUPR: 25.83%, FPR95: 100.00%, Test Score: 6.40%
Epoch: 141, Loss: 1.9459, AUROC: 50.02%, AUPR: 26.98%, FPR95: 99.96%, Test Score: 6.40%
Epoch: 142, Loss: 1.9459, AUROC: 49.96%, AUPR: 26.97%, FPR95: 100.00%, Test Score: 6.40%
Epoch: 143, Loss: 1.9459, AUROC: 50.00%, AUPR: 26.97%, FPR95: 100.00%, Test Score: 31.90%
Epoch: 144, Loss: 1.9459, AUROC: 50.72%, AUPR: 27.58%, FPR95: 99.22%, Test Score: 14.40%
Epoch: 145, Loss: 1.9459, AUROC: 50.88%, AUPR: 27.61%, FPR95: 99.96%, Test Score: 14.40%
Epoch: 146, Loss: 1.9459, AUROC: 53.11%, AUPR: 28.34%, FPR95: 100.00%, Test Score: 10.30%
Epoch: 147, Loss: 1.9459, AUROC: 50.00%, AUPR: 26.97%, FPR95: 100.00%, Test Score: 13.00%
Epoch: 148, Loss: 1.9459, AUROC: 50.00%, AUPR: 26.97%, FPR95: 100.00%, Test Score: 13.00%
Epoch: 149, Loss: 1.9459, AUROC: 50.00%, AUPR: 26.97%, FPR95: 100.00%, Test Score: 13.00%
Epoch: 150, Loss: 1.9459, AUROC: 50.08%, AUPR: 27.05%, FPR95: 100.00%, Test Score: 14.90%
Epoch: 151, Loss: 1.9459, AUROC: 57.10%, AUPR: 31.46%, FPR95: 100.00%, Test Score: 31.90%
Epoch: 152, Loss: 1.9459, AUROC: 50.00%, AUPR: 26.97%, FPR95: 100.00%, Test Score: 14.90%
Epoch: 153, Loss: 1.9459, AUROC: 50.00%, AUPR: 26.97%, FPR95: 100.00%, Test Score: 14.90%
Epoch: 154, Loss: 1.9459, AUROC: 53.84%, AUPR: 28.72%, FPR95: 100.00%, Test Score: 9.10%
Epoch: 155, Loss: 1.9459, AUROC: 50.00%, AUPR: 26.97%, FPR95: 100.00%, Test Score: 6.40%
